station_avg_cycle_time,station_temperature_mean,station_vibration_mean,station_utilization,station_current_cycle_time,vehicle_avg_cycle_time,vehicle_cycle_time_deviation,vehicle_quality_event_count,defect
53.21,48.42,3.04,0.527,32.6,55.5,-40.0,7,1
67.35,65.07,3.47,0.311,55.57,83.84,-18.66,5,1
91.25,56.56,2.79,0.682,92.01,91.3,44.28,0,1
138.16,63.72,1.79,0.692,125.63,144.06,8.54,3,0
143.29,66.9,5.28,0.849,114.97,146.49,-8.43,2,1
40.83,52.61,4.15,0.443,40.18,39.1,16.97,3,0
101.29,64.11,3.71,0.657,127.46,99.62,8.4,0,0
90.09,71.31,6.01,0.748,88.83,103.31,-7.69,2,1
66.65,55.52,2.34,0.373,73.62,65.75,-1.74,1,0
54.38,45.0,1.39,0.493,70.29,50.86,-5.29,1,0
80.51,50.57,5.99,0.506,55.83,73.14,-24.11,2,1
153.15,77.91,3.41,0.555,146.77,157.37,-3.48,0,0
78.78,49.95,2.33,0.322,57.91,73.66,-9.28,0,0
102.25,66.01,2.46,0.434,89.27,105.57,17.38,1,0
124.36,66.92,3.33,0.713,147.04,126.14,29.78,0,1
83.64,51.22,2.78,0.558,85.48,79.36,-25.82,0,0
156.61,72.15,3.6,0.771,169.5,142.66,1.14,8,1
155.49,62.03,2.61,0.559,154.15,145.2,-20.57,0,1
70.21,50.03,1.34,0.478,53.25,61.5,-40.0,0,0
99.67,66.58,3.34,0.749,110.78,89.63,7.13,0,1
76.11,58.18,4.88,0.467,88.48,80.66,16.58,1,0
74.18,45.31,0.53,0.553,77.04,95.47,2.71,3,0
44.43,51.17,1.09,0.525,48.8,39.32,10.05,0,0
113.15,62.69,1.75,0.733,100.99,109.3,-12.1,1,0
100.32,56.73,5.05,0.589,108.58,94.48,-14.37,0,0
46.18,53.4,2.63,0.562,61.56,54.75,1.09,2,0
73.44,50.08,5.35,0.457,75.43,77.7,25.63,1,0
148.99,85.59,4.25,0.882,133.08,148.83,-1.21,2,0
68.75,59.69,2.31,0.382,84.02,56.62,-19.74,3,1
57.39,57.49,3.61,0.364,41.33,47.71,-5.69,4,0
98.73,52.78,1.23,0.397,99.34,100.49,23.23,8,1
158.28,70.33,2.74,0.873,175.18,160.51,22.15,1,1
69.05,53.78,1.97,0.454,79.08,68.89,28.18,1,0
120.66,61.89,2.04,0.534,97.73,127.31,-38.26,0,1
131.39,61.12,2.16,0.567,132.14,119.17,2.64,0,1
68.52,49.7,0.9,0.646,70.05,71.55,-5.5,1,0
127.39,70.21,2.34,0.796,148.57,129.87,21.3,2,1
84.13,55.14,1.72,0.554,88.71,74.55,-12.99,0,0
115.88,70.55,4.42,0.674,134.74,109.83,-6.17,0,0
116.02,69.0,2.24,0.618,122.86,122.95,3.36,2,1
104.29,68.59,2.55,0.55,102.39,92.91,-17.54,0,0
50.83,45.28,0.62,0.599,53.13,75.47,5.82,1,0
140.24,69.12,3.17,0.551,157.54,145.79,-28.05,1,1
78.49,50.25,2.23,0.483,60.59,77.92,12.21,4,0
62.38,45.0,3.51,0.405,69.35,59.86,-40.0,0,1
44.89,45.58,3.1,0.414,33.64,52.78,10.66,0,0
110.91,70.51,2.53,0.596,100.71,106.79,-15.55,0,0
121.31,63.38,1.82,0.651,134.62,117.6,-19.44,0,0
41.99,56.26,1.43,0.3,30.0,56.52,-2.94,0,0
101.45,65.3,6.93,0.59,105.77,96.74,18.1,2,0
67.18,48.28,2.37,0.379,56.88,68.54,15.7,1,0
117.42,69.88,2.06,0.506,87.26,109.82,5.18,2,0
60.92,51.26,1.1,0.3,60.66,63.51,-15.59,1,0
122.91,62.25,2.53,0.754,127.5,128.72,5.98,1,0
86.41,70.23,2.36,0.51,61.69,103.24,-40.0,4,1
152.41,75.87,4.79,0.788,147.78,143.03,-0.89,3,1
56.5,53.62,2.29,0.541,33.63,42.02,-5.35,0,0
80.93,52.51,2.37,0.595,89.6,78.26,-2.42,1,0
53.62,58.53,2.24,0.429,66.85,47.45,-26.42,0,0
150.96,74.97,2.74,0.688,162.92,150.81,-4.71,2,1
145.28,74.35,3.6,0.666,158.47,150.5,40.93,0,1
70.95,52.31,2.83,0.549,63.72,93.6,3.42,1,0
119.2,71.11,2.76,0.636,126.47,114.68,-5.09,0,0
138.07,79.44,3.62,0.834,142.63,115.96,-0.58,0,1
106.62,61.56,4.24,0.75,111.84,104.24,9.53,0,1
103.56,48.59,0.96,0.459,112.23,107.06,-23.55,8,1
69.02,54.46,2.25,0.342,77.96,59.33,-22.48,0,0
51.17,45.0,1.14,0.486,44.21,53.51,-16.73,3,0
147.67,70.8,3.87,0.643,131.64,149.04,-17.21,3,1
148.05,63.87,1.66,0.532,144.43,150.65,30.48,0,0
115.97,77.01,4.09,0.783,117.01,123.89,1.79,0,0
80.68,51.17,1.03,0.413,80.35,79.86,-9.47,3,0
81.91,68.97,2.04,0.697,93.85,87.38,6.99,2,0
127.11,65.68,3.67,0.748,107.11,109.13,-40.0,0,0
147.65,81.35,4.21,0.828,144.16,138.03,-18.02,5,1
146.45,82.89,6.15,0.6,134.88,143.04,-19.26,0,1
133.59,58.42,2.41,0.574,148.08,123.53,-11.12,0,0
117.04,67.09,2.96,0.64,115.34,117.11,21.37,0,0
50.1,65.76,3.59,0.3,37.94,46.66,5.8,2,0
59.4,50.38,1.41,0.38,61.46,54.84,-20.76,0,0
147.83,70.41,2.08,0.652,141.75,156.66,-25.84,3,1
112.77,65.99,2.15,0.482,110.23,113.61,-23.94,0,0
41.1,45.45,0.93,0.3,56.87,30.27,4.52,0,0
52.18,45.0,1.11,0.552,72.65,46.14,13.84,3,0
119.62,70.01,6.31,0.506,112.85,127.15,4.1,3,1
40.61,45.0,2.95,0.3,32.42,42.6,-22.35,0,0
59.3,50.22,4.94,0.51,50.06,71.26,-7.83,1,0
105.85,75.53,12.0,0.788,86.5,114.31,-10.68,2,1
123.03,62.0,2.37,0.582,135.09,119.14,27.58,2,1
118.24,56.43,1.57,0.482,144.93,132.59,27.29,1,0
66.91,60.41,2.66,0.509,59.77,82.09,-29.41,3,0
125.46,64.83,4.88,0.819,120.04,107.61,-36.62,3,1
68.47,48.19,1.63,0.599,65.18,68.79,-3.64,3,0
79.05,59.43,2.42,0.566,79.39,73.55,-11.3,0,0
129.58,64.53,1.89,0.595,115.85,126.97,-24.16,0,0
117.96,56.75,2.02,0.651,113.47,109.79,-15.86,0,0
141.91,70.8,2.78,0.542,152.93,132.49,15.94,3,1
118.91,70.3,2.67,0.708,122.61,127.93,-25.22,0,0
108.2,62.58,4.83,0.695,125.33,96.52,41.84,0,1
51.24,52.64,1.05,0.62,56.01,52.17,-10.53,4,0
84.13,58.33,6.67,0.437,67.79,70.63,3.22,0,0
71.82,58.18,1.3,0.303,58.97,84.52,-18.47,0,0
69.28,52.56,5.32,0.506,70.38,69.58,-26.78,4,1
156.76,80.42,3.82,0.833,147.95,164.21,-7.03,0,0
87.17,64.97,3.52,0.658,73.3,89.12,-29.51,4,1
147.05,74.68,2.59,0.599,132.71,144.51,-4.52,0,0
115.74,62.43,3.14,0.532,120.56,116.42,1.96,0,0
135.38,62.7,4.77,0.691,132.81,150.45,-13.79,0,0
100.32,56.14,1.39,0.513,112.77,91.34,8.95,4,1
109.23,69.08,2.15,0.752,101.51,83.73,14.84,2,1
99.1,73.26,2.74,0.567,68.95,91.23,-17.06,0,0
63.43,52.38,1.21,0.59,61.66,51.34,-14.0,2,0
126.69,73.45,2.38,0.692,148.31,136.37,18.01,0,0
73.69,55.52,2.83,0.61,74.31,71.94,8.26,1,0
42.92,47.26,1.0,0.342,30.0,51.19,-11.59,0,0
117.46,78.85,4.18,0.765,101.26,117.78,16.63,3,1
61.25,55.38,4.09,0.374,71.1,61.34,-0.47,1,0
152.86,64.66,3.26,0.757,146.31,154.49,23.51,4,1
154.47,66.39,1.97,0.629,173.55,169.27,-2.24,1,1
149.78,80.75,3.92,0.72,160.02,151.65,20.43,1,1
84.42,56.67,1.95,0.461,72.39,95.51,-9.97,2,0
41.85,45.0,1.13,0.312,50.11,52.31,8.96,2,0
151.4,71.5,2.67,0.921,146.73,149.77,-38.8,0,1
91.38,60.59,5.41,0.418,70.38,90.64,28.53,1,1
156.0,83.43,4.84,0.863,150.86,152.22,3.13,2,1
155.63,78.48,2.72,0.941,171.67,168.47,26.32,0,1
142.36,83.06,3.75,0.515,154.32,132.95,-18.82,0,1
75.33,63.21,2.17,0.586,70.29,68.1,0.57,0,0
86.21,53.72,6.74,0.44,60.59,83.45,-16.04,2,1
142.14,60.18,7.14,0.523,121.91,130.65,-29.15,0,0
78.03,48.26,1.27,0.475,62.72,72.12,15.48,0,0
60.34,58.78,1.98,0.635,45.51,71.7,-4.78,0,0
106.82,54.23,2.43,0.405,106.1,113.33,-1.33,0,0
152.34,85.37,3.9,0.772,179.04,148.13,24.6,0,1
123.52,76.57,2.75,0.651,134.1,131.55,-10.1,3,1
108.41,71.06,3.68,0.755,97.96,129.23,-2.32,0,0
51.66,45.0,1.11,0.3,37.33,54.79,-5.54,1,0
113.8,61.21,3.06,0.694,109.69,128.0,0.36,3,0
158.81,84.82,3.62,0.828,168.05,167.32,23.11,6,1
56.81,49.03,2.55,0.518,74.03,53.87,0.97,2,0
102.2,73.77,3.88,0.764,99.86,104.17,-10.71,5,1
145.28,77.74,3.53,0.845,168.65,150.55,0.62,1,1
128.89,63.28,3.43,0.483,151.81,121.44,-0.35,2,0
123.64,61.11,2.39,0.639,120.23,97.55,18.14,5,1
124.3,64.79,1.87,0.612,120.03,115.96,-3.41,0,0
83.14,56.64,1.5,0.453,75.88,61.56,14.78,0,0
75.23,62.17,1.95,0.486,73.71,67.72,4.12,2,0
137.12,61.99,1.62,0.645,133.73,120.05,-17.43,0,1
137.21,66.86,3.68,0.665,149.12,146.01,-21.17,0,0
144.05,76.02,3.05,0.904,131.54,132.22,-32.39,3,1
149.59,72.68,2.31,0.564,142.46,155.03,-19.6,0,0
101.36,59.17,3.92,0.753,108.37,109.03,21.86,0,0
100.18,51.63,2.62,0.573,110.08,107.2,28.36,4,1
135.8,75.01,3.2,0.737,164.88,117.11,16.21,0,1
118.0,57.73,1.69,0.766,105.85,129.22,10.61,4,1
124.24,74.05,2.49,0.597,116.35,128.44,-13.93,1,0
135.5,67.2,2.75,0.659,109.47,143.54,-24.31,4,1
146.8,59.79,4.64,0.684,135.17,165.1,8.06,3,0
80.56,52.01,1.23,0.472,56.76,88.5,-8.91,0,0
85.07,64.55,2.93,0.705,80.92,73.24,11.13,4,1
51.28,49.6,5.67,0.565,47.85,57.81,-0.79,1,0
109.39,59.34,2.88,0.452,112.06,94.36,-5.42,1,0
44.31,50.83,1.72,0.3,34.73,43.68,-8.67,1,0
95.87,57.93,3.17,0.539,100.29,90.84,7.74,0,0
105.12,51.58,3.51,0.435,103.18,105.22,3.35,3,0
74.38,54.33,2.4,0.551,61.0,59.29,-23.47,0,0
110.9,69.79,5.07,0.47,88.07,96.96,-13.61,0,0
43.66,60.34,2.5,0.42,47.06,39.17,-25.67,2,0
44.48,45.0,3.16,0.3,58.24,42.26,0.59,0,0
138.71,75.51,6.89,0.623,169.59,134.45,-1.13,1,1
83.22,60.75,2.49,0.601,94.46,97.73,-40.0,1,0
55.25,57.24,2.63,0.439,69.52,59.48,46.92,1,0
102.67,62.53,2.96,0.779,111.79,106.63,-9.34,0,0
132.4,59.65,3.66,0.827,140.56,128.58,-12.86,4,1
65.9,56.01,3.76,0.421,63.66,51.98,28.09,1,0
114.75,53.19,1.03,0.442,110.33,114.71,-23.31,0,0
50.24,45.0,2.48,0.569,56.91,68.31,-22.79,0,0
46.2,45.0,2.8,0.583,39.62,48.45,-6.99,1,0
103.76,69.26,3.76,0.72,104.38,114.89,-8.6,1,1
104.88,59.35,3.24,0.446,87.66,117.27,-20.12,5,1
116.49,75.17,2.37,0.829,126.76,122.09,-11.38,0,0
127.13,69.37,2.84,0.565,114.92,129.33,-9.5,4,0
157.1,73.14,4.75,0.841,162.33,147.22,32.07,2,1
101.96,65.03,5.78,0.749,110.94,99.87,-24.5,1,1
78.75,50.0,1.19,0.411,82.0,75.15,16.75,3,0
135.42,71.58,3.39,0.85,149.67,138.72,34.73,3,1
72.5,46.14,3.02,0.421,66.37,58.36,-14.34,2,0
92.68,66.85,3.9,0.749,101.48,87.3,11.18,0,0
49.41,54.96,2.54,0.341,38.39,53.45,-7.71,0,0
43.04,47.0,0.65,0.591,30.0,36.02,-37.47,1,0
155.52,78.0,4.41,0.568,161.24,146.36,24.8,0,1
140.32,72.96,4.4,0.785,147.59,132.4,4.27,1,1
123.52,68.3,3.82,0.663,136.94,120.79,-2.66,1,0
89.07,46.42,2.76,0.538,87.54,65.27,-28.16,1,0
60.8,45.0,1.35,0.352,36.59,53.33,-2.72,1,0
58.77,54.79,8.7,0.539,56.44,68.3,1.57,0,0
70.03,56.69,3.41,0.366,76.0,73.27,13.89,0,0
105.91,58.16,2.59,0.619,112.0,110.11,13.04,1,0
125.75,76.02,6.44,0.559,123.16,107.47,-15.93,1,1
119.22,75.03,5.88,0.82,103.66,115.08,-40.0,0,1
73.59,45.0,3.03,0.312,55.52,72.43,-11.01,0,0
154.58,70.49,3.27,0.624,160.78,159.23,-0.09,0,0
128.55,82.18,3.85,0.563,107.82,139.66,-7.42,1,0
106.52,52.91,1.57,0.565,102.01,116.07,25.06,1,1
113.41,65.04,2.14,0.513,112.13,107.55,-1.51,0,0
90.35,56.48,2.27,0.548,103.1,84.73,18.84,1,0
69.73,62.86,2.87,0.638,77.86,83.85,10.86,1,1
82.72,68.1,2.31,0.613,94.53,79.12,-19.02,1,0
130.94,66.06,5.6,0.705,136.66,120.12,-20.36,4,1
41.73,53.09,2.21,0.3,30.0,39.66,14.9,0,0
53.93,68.12,3.01,0.519,44.95,67.42,-20.32,0,0
45.52,46.29,1.44,0.3,30.0,36.47,-1.12,2,0
44.89,56.96,1.31,0.529,50.56,40.6,-15.59,5,0
142.66,63.96,4.85,0.608,134.49,134.02,9.35,1,0
124.44,65.8,2.32,0.62,120.11,134.0,2.29,0,1
96.9,57.57,2.8,0.511,95.39,99.78,-6.12,5,0
51.74,59.31,2.76,0.579,71.01,61.0,21.63,1,0
98.99,65.47,3.05,0.428,103.43,114.64,6.89,1,0
96.82,60.17,2.53,0.597,87.48,81.7,-17.67,1,0
60.78,59.33,1.66,0.319,56.99,53.19,-1.68,0,0
92.06,71.97,2.61,0.638,112.64,87.73,22.33,2,1
87.82,68.24,3.01,0.705,97.31,88.51,24.68,1,1
113.9,59.86,3.73,0.596,94.63,118.96,-11.95,5,1
116.21,60.25,2.26,0.624,105.71,111.3,26.9,0,1
45.44,47.31,0.98,0.587,33.28,38.52,-19.48,1,0
84.95,64.47,1.81,0.543,101.11,94.52,-19.95,1,0
115.1,55.79,2.78,0.62,130.59,120.56,-17.66,4,0
100.38,66.61,2.62,0.612,93.13,103.54,-3.8,0,0
142.78,64.95,1.9,0.784,138.7,121.32,-1.82,2,0
119.04,67.12,3.51,0.48,117.18,131.11,1.33,1,0
59.55,55.23,1.46,0.587,60.19,61.39,-11.71,1,0
48.47,58.1,2.35,0.4,32.91,46.85,32.28,3,0
117.09,68.56,2.46,0.46,111.3,108.9,24.3,1,1
43.18,61.12,5.49,0.524,30.0,36.85,-27.19,2,0
110.29,72.31,2.53,0.562,124.79,101.38,5.42,1,1
152.83,69.9,2.81,0.579,131.28,132.85,-9.89,0,1
109.06,56.26,5.99,0.661,89.01,100.88,2.32,0,0
86.58,54.41,1.64,0.692,93.64,70.59,-23.91,0,0
117.19,54.14,2.6,0.787,106.09,116.59,-36.41,2,1
94.99,56.86,1.78,0.748,91.94,83.48,-23.47,0,0
105.47,66.39,1.96,0.744,109.1,112.77,28.89,2,0
152.98,64.02,3.12,0.54,159.88,136.33,-8.34,0,0
86.33,55.47,4.84,0.491,81.5,98.28,12.14,1,1
155.34,80.09,3.51,0.873,182.16,163.71,24.01,0,1
148.64,68.48,3.38,0.672,150.09,137.98,-2.51,0,1
63.49,45.95,1.97,0.511,76.01,62.55,21.15,0,0
48.32,50.06,1.61,0.467,49.02,39.78,-21.75,4,0
52.09,45.0,1.93,0.382,73.31,57.88,2.12,0,0
42.19,50.14,1.26,0.568,54.25,60.19,-33.87,0,0
51.33,59.48,2.08,0.435,48.56,63.14,0.37,4,0
121.96,63.7,2.5,0.632,130.14,115.08,-10.17,1,1
48.54,66.79,4.8,0.625,45.91,49.69,38.1,1,0
78.28,66.07,2.41,0.512,73.27,93.5,-1.45,4,0
141.39,63.04,3.09,0.576,125.25,146.63,6.68,2,1
42.79,45.0,0.86,0.414,30.0,52.89,5.35,2,0
137.74,72.26,2.57,0.819,166.84,144.25,13.16,1,1
73.82,65.95,3.33,0.612,59.62,74.59,10.76,2,0
54.18,50.14,2.96,0.558,45.47,53.49,-3.76,6,0
123.61,74.75,3.22,0.734,125.16,111.5,9.34,4,1
115.47,70.48,2.64,0.528,113.31,107.81,41.36,1,0
145.3,69.39,5.58,0.861,155.12,136.28,8.37,0,0
128.21,66.55,2.01,0.822,127.02,124.7,-10.09,6,1
136.42,71.12,3.98,0.567,141.1,137.41,-10.4,0,0
73.84,52.48,2.71,0.354,82.63,72.76,2.9,0,0
61.29,52.24,2.69,0.654,77.57,63.45,10.25,0,0
130.07,68.98,6.05,0.818,131.21,136.72,1.64,0,0
136.82,72.72,4.12,0.848,149.11,132.66,-22.33,2,1
158.86,67.15,2.37,0.911,151.33,166.24,-40.0,0,1
89.51,64.42,2.32,0.565,80.16,100.9,-22.12,0,0
84.64,55.66,1.88,0.592,70.41,88.79,-6.06,0,0
133.17,49.43,0.81,0.698,134.57,127.72,1.84,0,0
80.9,52.05,4.59,0.343,65.45,90.36,0.46,2,0
151.69,69.89,2.11,0.833,138.11,156.52,-0.26,1,0
143.01,82.55,4.56,0.711,140.6,149.2,-10.2,2,1
91.48,56.46,3.15,0.614,71.01,106.83,-28.61,2,1
130.1,60.12,4.19,0.671,147.46,137.2,18.06,0,1
130.55,71.35,3.29,0.668,125.22,146.29,1.41,2,0
52.37,45.0,2.44,0.306,58.32,50.89,-16.71,2,0
148.31,64.2,2.19,0.636,143.13,143.99,8.66,0,1
100.63,61.3,3.53,0.445,83.2,112.12,8.51,1,0
139.17,59.49,2.0,0.576,152.8,129.32,21.02,0,0
78.41,50.67,4.34,0.704,81.56,97.29,18.94,0,0
147.46,80.29,2.89,0.584,169.78,160.48,-2.35,1,1
86.7,59.76,1.95,0.448,78.06,87.58,11.01,0,0
41.3,46.85,1.65,0.44,32.76,53.31,-7.11,0,0
148.65,73.02,4.42,0.77,164.1,155.27,44.54,0,1
50.95,50.18,2.88,0.3,57.1,38.05,19.16,0,0
78.32,65.87,2.11,0.632,80.81,70.15,8.97,0,0
154.01,70.71,2.28,0.856,199.15,156.86,53.47,1,1
154.07,73.1,2.73,0.637,151.45,155.67,-10.43,0,1
108.81,57.32,2.23,0.522,92.02,121.89,1.51,3,1
115.82,67.62,3.02,0.803,107.84,118.84,36.25,4,1
93.81,63.99,2.48,0.692,92.35,81.13,13.91,2,0
75.19,57.35,2.87,0.585,93.1,69.73,11.69,0,0
79.44,57.35,2.08,0.351,72.23,86.87,-8.46,4,0
120.7,68.25,6.28,0.609,139.68,102.48,-7.94,0,0
130.28,57.85,1.72,0.695,137.39,116.17,-1.66,0,1
134.99,56.24,2.66,0.56,147.19,131.26,-8.64,2,0
134.75,65.71,3.16,0.664,140.67,144.02,-1.19,0,0
50.94,63.77,2.12,0.473,52.96,48.78,-0.98,1,0
99.33,53.16,1.79,0.509,106.54,103.94,21.4,2,0
