avg_cycle_time,cycle_time_std,cycle_time_trend,throughput,temperature_mean,vibration_mean,utilization,current_cycle_time,high_risk
73.84,6.09,0.02,36.2,66.83,2.51,0.867,76.96,0
46.76,4.82,-0.157,44.22,60.47,1.81,0.587,54.77,0
92.28,17.83,0.062,29.3,79.61,8.4,0.818,94.52,1
50.52,4.56,-0.081,34.17,54.84,0.79,0.556,48.14,0
145.18,25.05,0.261,21.07,84.2,8.32,0.886,134.62,1
67.95,8.74,0.21,41.04,73.25,8.53,0.841,72.7,1
55.11,6.69,-0.029,39.47,62.51,2.59,0.658,66.35,0
41.05,2.59,-0.176,46.72,50.91,0.68,0.543,39.53,0
87.14,9.67,0.175,29.5,74.43,11.02,0.82,97.17,1
109.22,13.6,0.13,27.46,93.56,3.17,0.888,108.98,1
98.37,8.86,0.073,27.79,95.96,2.67,0.819,92.63,1
68.7,16.04,0.068,44.19,75.15,7.49,0.813,69.22,1
35.54,2.93,-0.08,42.92,50.25,1.32,0.43,32.75,0
81.3,5.65,0.006,25.67,60.75,1.65,0.644,82.16,0
49.07,4.78,-0.141,33.74,61.89,1.66,0.51,37.42,0
123.13,12.51,0.155,27.44,65.95,3.88,0.947,122.72,1
104.9,11.88,0.107,24.24,77.86,7.29,0.818,128.08,1
70.3,4.64,-0.009,29.78,61.26,3.5,0.605,60.29,0
42.45,2.53,-0.013,51.16,55.46,1.35,0.592,40.96,0
67.08,5.76,-0.058,41.23,65.64,3.47,0.764,70.74,0
82.0,4.73,-0.069,25.34,64.02,2.19,0.601,75.38,0
73.46,13.6,0.061,32.62,89.69,4.25,0.745,62.1,1
105.92,15.7,0.159,30.9,80.51,4.05,0.871,99.06,1
151.05,14.66,0.134,19.49,67.77,5.99,0.866,166.1,1
84.18,8.12,-0.047,31.64,75.84,2.03,0.864,91.12,0
56.3,3.74,-0.127,28.61,61.47,1.18,0.522,52.88,0
69.79,9.92,0.143,40.25,86.31,3.35,0.744,79.15,0
70.86,14.48,0.207,37.01,87.48,11.24,0.709,85.03,1
108.04,17.86,0.111,27.4,73.76,4.2,0.88,83.92,1
103.66,13.04,0.141,28.18,77.18,9.58,0.879,131.15,1
97.52,7.25,0.065,26.25,68.59,3.76,0.832,91.3,1
70.11,7.1,-0.048,45.55,73.74,4.01,0.857,60.16,0
97.21,8.71,-0.02,31.29,76.49,3.96,0.838,115.62,1
53.47,3.5,0.017,29.3,49.92,2.17,0.483,57.16,0
46.51,2.46,-0.109,35.06,60.77,1.89,0.509,49.14,0
47.35,4.17,-0.085,34.3,61.11,1.86,0.484,49.76,0
110.55,16.59,0.249,24.26,80.07,3.96,0.8,97.38,1
83.92,4.84,0.006,26.26,67.92,3.92,0.711,90.28,0
79.26,4.47,0.034,37.56,67.63,4.97,0.866,81.11,1
156.66,22.48,0.225,20.18,73.56,3.79,0.851,146.34,1
70.67,4.32,-0.062,34.46,56.78,1.36,0.732,65.1,0
88.83,7.33,0.013,31.38,71.21,5.28,0.899,95.44,1
104.21,9.39,0.1,28.27,71.52,10.56,0.823,109.82,1
79.18,3.5,0.029,29.12,71.62,1.32,0.75,75.5,0
48.96,4.67,-0.102,35.33,48.0,0.92,0.561,44.87,0
63.13,7.54,-0.083,36.58,64.03,3.83,0.733,46.26,0
84.8,6.02,0.011,31.96,56.84,2.45,0.717,81.39,0
151.76,23.61,0.248,18.65,69.55,3.01,0.863,154.79,1
97.24,18.37,0.177,31.55,70.97,6.56,0.868,79.13,1
84.47,10.54,0.136,32.31,76.69,5.26,0.796,74.18,1
122.57,14.16,0.163,24.93,80.13,5.67,0.946,152.59,1
92.34,14.42,0.132,30.59,78.85,9.33,0.79,100.13,1
55.44,3.33,0.076,46.7,56.21,2.44,0.811,55.09,0
134.27,22.79,0.271,22.81,72.08,5.41,0.932,87.88,1
71.74,4.2,0.072,44.92,70.53,3.65,0.883,76.36,1
66.85,18.15,0.203,43.29,77.15,7.59,0.869,49.13,1
140.36,18.2,0.256,21.95,77.88,6.05,0.854,134.22,1
85.44,6.65,0.067,24.15,65.06,1.24,0.673,83.84,0
41.51,1.71,-0.174,44.09,48.14,2.0,0.577,37.53,0
86.49,7.46,0.018,31.93,55.11,3.96,0.748,89.52,0
73.79,9.36,-0.006,38.51,66.7,5.23,0.899,82.01,0
72.37,14.26,0.18,40.05,74.18,6.5,0.804,91.53,1
130.49,18.82,0.186,22.88,80.5,5.11,0.908,132.18,1
41.45,1.15,-0.063,34.9,50.52,1.84,0.407,40.22,0
95.76,9.62,0.071,30.92,70.16,5.44,0.909,116.28,1
68.11,6.65,-0.041,49.63,75.0,3.95,0.957,63.17,0
74.49,6.58,-0.025,32.69,59.54,1.82,0.767,73.97,0
44.3,4.39,-0.014,32.53,58.02,1.97,0.446,44.98,0
63.51,6.52,-0.06,32.93,65.24,2.09,0.657,62.66,0
123.14,12.46,0.227,23.26,66.88,3.69,0.914,115.74,1
80.17,3.1,-0.055,36.25,69.37,1.4,0.796,79.89,0
79.72,9.08,0.04,40.3,81.89,2.81,0.915,74.44,0
65.65,6.19,0.124,42.1,90.85,2.61,0.813,67.77,1
86.98,4.99,0.012,32.62,70.68,2.65,0.772,92.57,1
140.81,18.92,0.158,22.17,87.92,8.1,0.968,138.31,1
170.56,26.67,0.233,20.67,89.01,8.88,0.948,168.19,1
63.78,5.49,-0.018,36.22,57.8,2.64,0.714,56.79,0
67.37,4.39,0.064,46.35,75.65,4.55,0.88,56.35,1
65.04,6.2,-0.011,38.21,72.49,1.68,0.787,60.24,0
75.22,4.51,-0.097,37.83,59.54,3.8,0.796,69.4,0
40.85,3.09,-0.146,33.48,53.46,0.9,0.426,40.28,0
109.43,9.67,0.085,24.63,84.59,4.82,0.857,121.16,1
91.36,7.74,-0.003,35.12,66.55,4.38,0.896,92.7,1
59.13,2.04,-0.176,26.32,60.02,2.1,0.486,55.82,0
63.22,7.3,-0.015,40.49,66.61,3.36,0.776,47.87,0
151.57,15.57,0.198,18.83,74.51,4.27,0.878,167.88,1
50.47,5.94,-0.01,55.71,56.68,3.11,0.792,49.23,0
51.73,4.77,-0.015,22.88,56.01,1.36,0.36,39.02,0
77.29,9.88,-0.037,44.91,73.16,4.18,0.949,65.77,1
146.22,21.03,0.211,19.77,97.59,10.98,0.921,146.1,1
53.95,6.1,-0.074,47.01,55.14,2.09,0.715,45.61,0
86.78,14.78,0.16,33.05,82.73,5.46,0.772,86.39,1
114.89,10.36,0.173,24.62,74.24,11.04,0.862,120.52,1
89.06,4.41,0.072,23.38,69.19,2.69,0.612,94.34,0
73.59,10.53,0.061,39.17,82.46,3.2,0.891,62.42,1
66.56,4.16,-0.012,37.17,69.24,2.82,0.792,61.93,0
109.32,10.5,0.151,25.68,82.6,4.01,0.81,118.78,1
77.1,15.05,0.234,36.71,76.3,7.21,0.824,130.18,1
87.57,4.64,0.073,33.51,66.23,4.75,0.881,86.67,1
37.51,3.54,-0.004,46.68,64.28,2.25,0.572,42.36,0
80.14,14.82,0.153,31.89,86.28,9.02,0.753,75.44,1
89.9,5.47,-0.068,28.77,71.28,3.38,0.713,81.9,0
84.48,7.47,-0.065,27.56,74.51,3.63,0.629,90.86,0
57.16,3.17,-0.051,29.13,48.87,2.02,0.486,56.29,0
94.59,9.72,0.127,26.04,71.33,7.39,0.777,122.89,1
77.12,10.91,0.118,30.62,94.7,5.25,0.731,83.4,1
55.64,3.79,-0.164,27.64,57.51,0.96,0.455,51.71,0
84.04,5.96,0.067,34.97,70.5,4.94,0.938,83.56,1
53.32,6.21,-0.015,51.31,62.26,2.0,0.8,54.87,0
92.8,11.44,0.198,30.81,82.5,7.39,0.879,86.43,1
77.08,5.38,0.079,36.6,74.05,3.54,0.76,88.58,1
101.65,9.59,0.06,26.07,82.32,4.33,0.774,108.09,1
86.46,3.81,-0.034,27.56,62.21,3.44,0.693,85.9,0
138.6,23.09,0.245,20.47,79.28,4.74,0.867,143.0,1
43.89,2.01,-0.041,45.37,52.16,0.69,0.542,41.51,0
50.4,7.69,0.013,42.99,59.93,1.23,0.671,53.53,0
39.16,3.11,-0.062,33.37,48.6,0.67,0.425,34.17,0
146.96,16.13,0.243,22.03,74.06,5.05,0.906,140.05,1
137.8,16.25,0.18,23.4,74.88,5.48,0.934,134.3,1
79.59,6.53,-0.004,31.61,72.47,2.41,0.749,83.11,0
68.2,13.92,0.025,38.61,94.14,5.84,0.85,93.21,1
92.83,12.56,0.106,23.58,80.13,8.9,0.698,116.79,1
108.36,17.05,0.15,26.72,82.71,4.69,0.912,125.37,1
77.42,6.41,0.036,36.52,77.75,3.78,0.902,74.84,0
88.85,3.59,0.072,24.9,59.62,1.33,0.62,93.78,0
56.26,2.74,0.006,28.95,58.71,2.21,0.498,58.75,0
155.05,24.69,0.262,21.09,81.47,4.64,0.867,152.6,1
133.61,19.2,0.195,24.28,66.5,6.58,0.892,146.19,1
101.29,12.09,0.123,30.96,79.9,5.69,0.896,96.64,1
53.64,5.37,-0.065,40.34,68.23,3.75,0.646,56.14,0
84.85,6.74,0.056,28.02,70.04,1.59,0.718,76.61,0
82.53,10.11,0.169,35.17,84.15,3.1,0.875,95.94,1
155.14,24.51,0.218,21.25,75.5,3.83,0.959,115.14,1
137.75,21.65,0.14,22.03,72.28,6.84,0.898,161.63,1
74.6,14.43,0.202,32.34,87.01,7.57,0.775,92.94,1
114.57,16.48,0.249,27.71,83.92,6.81,0.865,80.7,1
58.36,2.73,-0.072,24.47,57.6,1.49,0.462,60.7,0
85.28,5.22,0.006,26.38,55.07,1.89,0.631,81.4,0
119.08,12.18,0.239,26.43,77.28,3.75,0.964,114.84,1
93.8,17.54,0.122,31.59,75.47,4.69,0.874,113.38,1
36.71,4.82,-0.141,52.92,61.76,2.44,0.571,30.0,0
53.18,2.48,-0.143,27.11,50.82,2.47,0.461,55.6,0
89.21,11.62,0.039,32.81,86.6,5.79,0.811,107.4,1
59.31,1.15,-0.123,23.86,48.19,1.06,0.399,56.93,0
85.51,6.47,-0.029,28.04,64.11,1.7,0.682,72.72,0
74.57,9.11,0.063,43.94,71.19,2.73,0.905,58.97,0
73.78,6.65,0.144,35.15,90.43,4.08,0.746,76.06,1
104.47,13.68,0.092,23.3,88.82,4.62,0.703,90.38,1
75.86,3.91,0.035,29.82,69.2,1.33,0.675,78.56,0
96.73,7.27,0.147,29.1,91.4,3.74,0.826,93.67,1
77.93,5.17,-0.064,29.88,55.12,2.04,0.647,91.75,0
81.77,4.01,0.073,31.11,73.34,3.18,0.711,88.75,0
80.25,13.19,0.041,30.31,87.45,3.93,0.735,71.2,1
108.18,8.97,0.14,31.1,69.14,7.27,0.892,108.21,1
80.48,17.09,0.151,36.78,83.64,7.09,0.809,73.13,1
96.75,10.77,0.162,29.66,85.23,4.0,0.84,105.05,1
95.31,8.26,0.237,29.55,76.91,4.42,0.895,92.78,1
44.08,2.02,-0.079,47.35,57.77,2.29,0.592,45.34,0
68.85,7.34,-0.048,33.77,72.11,2.84,0.628,67.19,0
87.51,3.27,-0.01,25.44,67.52,3.42,0.682,94.24,0
55.38,7.07,0.009,50.02,61.79,1.5,0.809,59.64,0
133.86,28.57,0.156,22.35,89.98,8.77,0.963,180.15,1
61.24,7.55,-0.045,42.59,65.88,1.48,0.699,76.69,0
128.73,13.05,0.17,22.35,75.27,5.78,0.928,145.38,1
73.99,16.55,0.096,38.21,74.13,5.95,0.892,64.55,1
63.64,9.81,0.072,42.34,79.26,9.44,0.742,78.29,1
76.47,6.84,0.012,43.28,68.91,2.02,0.938,89.96,0
80.12,16.9,0.226,33.32,69.81,5.48,0.763,103.93,1
83.8,5.95,-0.046,37.12,68.65,4.92,0.925,75.82,1
73.08,7.36,0.055,31.45,59.18,3.37,0.682,74.63,0
94.78,8.11,0.071,30.21,92.88,2.7,0.768,94.32,1
58.9,8.0,-0.069,48.22,59.47,1.43,0.77,54.8,0
52.56,3.23,-0.009,27.04,56.9,1.52,0.429,56.45,0
114.57,9.66,0.105,24.73,79.18,4.28,0.848,130.54,1
67.93,7.69,0.033,35.97,66.39,3.14,0.701,76.31,0
153.93,16.64,0.154,21.02,65.76,3.17,0.878,179.9,1
157.66,26.89,0.222,22.05,86.83,11.45,0.976,203.2,1
122.86,19.33,0.196,21.88,76.82,4.26,0.868,130.22,1
85.08,6.38,-0.036,27.17,68.51,3.89,0.713,87.97,0
56.87,4.7,-0.046,36.54,54.76,2.41,0.583,39.48,0
138.32,13.94,0.184,21.21,65.31,4.09,0.958,122.87,1
76.63,8.37,0.07,46.3,75.34,2.89,0.952,81.95,1
161.3,27.94,0.257,19.05,93.55,7.19,0.921,214.94,1
148.28,17.34,0.153,22.76,92.44,10.85,0.895,174.01,1
156.86,14.17,0.229,22.04,66.78,6.44,0.948,132.81,1
51.34,3.46,-0.091,42.68,65.19,2.69,0.674,48.55,0
51.82,4.5,-0.004,48.58,60.48,1.57,0.69,55.66,0
159.81,16.28,0.169,21.61,79.37,4.57,0.93,129.22,1
75.87,7.76,0.043,26.37,61.65,2.52,0.609,96.31,0
78.01,7.13,0.032,37.86,60.45,3.65,0.818,90.16,1
75.2,15.89,0.17,34.14,79.15,6.07,0.8,63.5,1
111.52,17.64,0.203,31.14,83.56,5.12,0.964,149.45,1
74.22,8.71,0.121,31.74,93.56,5.42,0.704,72.52,1
92.4,16.51,0.212,29.97,73.51,6.22,0.799,86.83,1
57.5,3.75,0.017,34.06,64.01,1.01,0.542,53.88,0
71.01,14.71,0.16,35.04,82.66,6.92,0.809,46.1,1
148.7,26.65,0.196,23.44,83.41,10.18,0.984,194.83,1
41.3,2.3,-0.013,40.62,53.59,1.61,0.54,40.85,0
63.44,9.06,0.058,51.92,76.79,5.29,0.952,48.64,1
140.01,24.7,0.216,22.16,79.48,6.62,0.854,196.6,1
109.56,5.91,0.127,21.9,92.24,4.63,0.757,118.21,1
74.3,11.22,0.041,34.57,95.36,3.64,0.753,95.43,1
98.99,14.02,0.166,28.83,85.65,2.59,0.855,76.0,1
55.66,6.55,0.019,36.93,71.73,1.9,0.61,49.92,0
67.65,3.33,-0.028,38.21,73.3,2.36,0.768,74.5,0
98.64,19.26,0.095,24.44,84.33,9.55,0.768,73.8,1
88.06,13.88,0.199,32.36,75.03,7.65,0.772,99.9,1
118.55,17.54,0.134,26.62,74.49,4.4,0.951,124.92,1
145.89,23.66,0.262,20.38,84.05,3.1,0.893,183.82,1
95.83,5.65,-0.009,32.24,75.41,3.53,0.862,97.75,1
68.18,9.6,-0.01,38.76,66.53,3.97,0.841,76.05,0
67.63,10.9,0.098,38.47,84.7,10.31,0.801,59.94,1
105.36,13.88,0.134,24.58,80.42,3.67,0.844,75.56,1
85.61,6.32,0.126,29.98,88.93,3.19,0.743,91.46,1
63.74,8.41,0.137,43.92,87.13,11.22,0.773,58.9,1
140.11,17.91,0.164,22.41,77.06,5.32,0.973,131.1,1
54.59,7.18,-0.095,51.46,57.81,3.68,0.783,36.69,0
56.59,5.83,-0.044,37.81,72.18,2.33,0.639,52.93,0
56.79,2.45,0.01,38.02,50.46,0.94,0.587,53.69,0
89.64,8.04,0.127,29.83,81.59,4.03,0.852,93.49,1
49.74,4.08,-0.094,38.89,54.32,1.06,0.54,48.98,0
76.79,9.89,0.002,44.92,80.86,2.85,0.949,86.43,1
78.0,8.47,0.02,39.36,68.39,3.49,0.852,77.09,0
74.2,6.44,-0.049,35.89,55.89,3.49,0.706,72.22,0
78.49,14.53,0.184,40.04,72.32,6.55,0.884,81.74,1
43.07,3.18,-0.151,39.4,62.98,1.4,0.463,35.18,0
49.53,3.02,-0.1,24.02,55.08,0.74,0.38,48.88,0
82.88,10.97,0.207,32.5,83.64,9.15,0.755,103.76,1
64.6,3.5,0.021,32.71,64.51,1.74,0.602,65.51,0
59.49,2.86,-0.017,29.67,56.43,2.37,0.477,56.79,0
81.8,5.34,0.017,36.45,79.14,5.14,0.888,88.34,1
60.97,18.2,0.08,49.73,70.45,8.5,0.804,58.84,1
62.29,7.53,0.056,34.58,56.62,2.96,0.652,55.35,0
103.6,8.32,0.103,25.95,71.61,6.93,0.867,123.14,1
39.57,3.44,-0.035,36.18,62.09,1.75,0.429,36.49,0
48.94,3.31,-0.147,33.22,53.84,1.36,0.451,48.82,0
71.75,6.49,0.068,41.82,74.3,2.19,0.896,72.89,1
70.83,10.0,-0.004,45.99,76.5,3.19,0.944,65.27,0
86.76,8.42,0.182,36.24,74.49,6.46,0.895,80.62,1
81.9,6.41,0.133,34.19,92.97,2.56,0.871,85.49,1
164.04,16.55,0.276,17.9,93.11,11.66,0.941,155.08,1
96.05,4.76,0.009,34.1,80.41,3.77,0.939,100.99,1
54.86,7.05,-0.013,47.67,63.48,2.63,0.699,59.01,0
90.15,19.39,0.081,32.0,84.62,9.9,0.825,117.27,1
82.87,3.61,0.053,28.11,60.07,3.64,0.691,84.77,0
92.33,5.58,-0.049,31.39,66.7,4.64,0.889,85.68,0
42.17,4.13,-0.15,44.23,63.6,1.89,0.512,38.6,0
37.72,2.0,-0.001,47.07,58.87,1.86,0.529,36.97,0
170.49,19.71,0.194,18.06,95.14,9.47,0.976,220.0,1
71.83,15.53,0.115,39.3,87.1,10.53,0.847,62.93,1
72.52,5.33,0.082,45.64,85.82,3.22,0.881,81.63,1
61.0,8.71,-0.002,46.77,80.6,2.49,0.825,58.33,0
52.0,3.58,-0.087,49.6,64.71,2.16,0.767,49.69,0
87.16,7.55,0.029,31.93,61.39,2.27,0.795,84.61,0
66.03,7.93,0.048,33.0,69.55,1.95,0.696,89.15,0
74.1,6.42,-0.048,39.25,71.11,4.03,0.934,77.29,0
109.94,8.72,0.068,28.8,97.98,4.7,0.872,112.66,1
100.18,8.55,0.112,28.57,93.01,2.57,0.867,98.19,1
86.22,3.18,-0.06,24.93,67.34,2.7,0.668,82.92,0
137.39,18.32,0.225,20.54,98.0,9.23,0.91,122.25,1
94.41,7.8,0.111,29.88,96.85,3.41,0.854,107.84,1
93.21,17.27,0.233,25.75,70.24,5.48,0.765,78.38,1
101.8,17.49,0.249,25.14,78.18,6.93,0.814,98.12,1
87.58,6.45,-0.019,32.44,66.29,4.43,0.876,81.54,0
84.59,5.47,0.003,30.84,63.21,1.74,0.725,82.26,0
55.08,3.52,0.028,39.68,61.14,2.53,0.646,59.3,0
95.44,16.28,0.1,29.4,77.88,8.04,0.744,126.06,1
55.35,1.66,-0.179,22.44,52.15,0.82,0.361,52.63,0
40.39,2.6,-0.078,46.88,62.27,2.33,0.553,40.85,0
52.36,1.45,-0.067,25.55,55.34,1.8,0.412,50.53,0
40.53,4.95,-0.119,33.43,57.27,2.23,0.382,35.65,0
124.8,19.3,0.229,27.9,78.33,6.48,0.945,91.01,1
93.87,13.18,0.021,35.3,84.93,4.15,0.898,123.78,1
69.0,6.86,-0.03,42.23,68.01,3.27,0.875,71.2,0
36.29,1.12,-0.159,51.76,63.99,0.97,0.591,32.34,0
69.62,7.09,0.035,45.52,77.86,3.08,0.851,63.66,0
91.6,8.91,-0.006,29.27,80.91,2.58,0.868,112.09,1
68.16,7.01,0.039,41.01,65.66,1.48,0.802,67.27,1
66.91,4.07,0.039,43.82,76.4,5.44,0.944,68.35,1
86.12,7.07,-0.043,34.92,60.76,3.69,0.814,88.48,0
76.0,13.32,0.141,35.74,80.89,7.14,0.885,103.52,1
110.46,17.38,0.214,24.56,69.38,3.58,0.772,80.27,1
50.61,4.3,0.007,40.01,55.25,1.81,0.551,45.58,0
69.62,4.08,-0.069,27.88,69.36,1.51,0.6,70.84,0
89.9,14.75,0.089,28.07,76.49,4.85,0.771,60.18,1
62.68,9.37,0.054,47.41,66.11,5.41,0.837,82.73,1
147.82,22.14,0.186,21.42,65.22,6.71,0.906,133.2,1
74.14,14.2,0.166,39.19,95.98,5.99,0.898,83.22,1
59.24,3.49,0.076,34.53,72.42,1.21,0.665,62.26,0
46.65,1.95,-0.042,35.18,49.32,0.91,0.491,47.05,0
90.8,8.93,0.162,31.01,70.19,4.46,0.765,87.91,1
58.12,4.31,-0.113,27.16,57.34,1.97,0.418,60.41,0
112.32,14.78,0.242,27.34,83.53,7.37,0.837,126.33,1
125.49,14.55,0.199,23.51,82.56,3.4,0.909,123.01,1
86.04,11.87,0.186,33.59,82.63,5.29,0.777,93.03,1
68.71,4.38,-0.074,29.22,65.64,1.5,0.601,58.9,0
78.76,15.75,0.241,30.07,70.65,7.34,0.767,95.5,1
99.11,4.03,0.081,30.75,80.96,3.11,0.863,100.11,1
90.95,7.17,0.089,36.43,79.79,3.57,0.88,90.95,1
157.99,16.28,0.259,18.92,69.21,5.5,0.96,156.23,1
52.83,5.0,0.004,46.29,74.48,2.43,0.788,55.12,0
163.71,22.91,0.217,20.13,89.55,8.63,0.914,196.75,1
137.18,15.1,0.253,22.31,69.14,5.49,0.922,144.44,1
83.78,5.27,0.031,27.0,62.92,3.95,0.621,81.24,0
43.25,3.6,-0.029,41.94,56.67,2.14,0.537,39.38,0
38.1,3.26,0.01,53.68,57.84,1.83,0.548,31.1,0
59.43,4.45,-0.115,29.4,55.06,0.88,0.466,52.93,0
45.11,4.5,-0.142,37.55,48.41,2.05,0.487,39.49,0
74.5,5.74,0.066,38.29,91.06,4.64,0.825,76.81,1
41.83,1.98,-0.153,42.85,58.48,0.95,0.562,39.66,0
76.38,5.03,-0.053,39.19,70.94,2.04,0.815,78.77,0
101.74,10.86,0.123,22.93,72.0,10.11,0.717,103.52,1
55.05,4.16,-0.028,29.87,55.72,1.73,0.437,50.46,0
78.02,19.0,0.096,39.4,82.06,8.82,0.878,58.51,1
54.54,3.57,-0.037,51.72,67.16,1.49,0.768,49.74,0
50.03,4.84,-0.046,24.24,56.05,1.83,0.394,46.54,0
86.93,6.38,0.128,29.36,86.71,2.55,0.819,77.51,1
89.58,9.54,0.144,31.63,77.3,4.42,0.857,103.99,1
147.66,19.19,0.165,22.92,82.59,3.16,0.897,158.29,1
94.9,11.81,0.026,28.21,89.76,2.87,0.821,97.18,1
82.74,7.94,0.171,33.45,81.05,9.05,0.821,95.42,1
73.73,4.17,0.069,36.02,61.22,2.46,0.73,72.61,0
77.18,4.58,0.043,25.0,70.25,1.39,0.629,73.53,0
109.4,14.56,0.11,25.06,81.1,9.05,0.727,103.73,1
97.54,8.32,0.106,24.3,71.32,7.48,0.695,70.67,0
165.31,21.8,0.2,18.84,90.46,8.3,0.889,165.72,1
98.74,8.63,0.085,27.19,81.86,2.36,0.867,85.18,1
84.22,7.64,-0.084,23.82,55.66,1.49,0.625,82.8,0
102.82,17.09,0.141,28.28,80.72,8.07,0.839,107.23,1
71.34,7.12,0.077,35.03,70.27,1.48,0.69,69.4,0
128.16,19.94,0.121,27.02,66.55,6.72,0.97,127.88,1
126.49,17.08,0.233,25.03,78.43,4.56,0.928,96.97,1
90.6,8.58,-0.006,30.79,65.19,3.5,0.831,83.7,0
114.36,13.11,0.094,23.48,78.84,9.5,0.858,125.09,1
92.42,11.48,0.156,34.98,74.93,9.03,0.862,93.51,1
39.31,3.88,-0.057,46.99,53.97,1.2,0.52,36.33,0
119.41,12.11,0.275,26.43,84.39,3.56,0.906,104.63,1
68.04,8.74,0.068,43.01,80.51,2.68,0.836,68.12,1
65.81,9.45,0.135,41.97,72.7,9.8,0.839,72.5,1
